Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,
189.612915,15.531743,27.831818,189.612915,16.107902,34.644420,189.612915,16.074615,29.990299,189.612915,16.071076,23.499549,189.612915,17.386020,25.920723,189.612915,14.360153,17.795390,189.612915,20.283837,16.911678,189.612915,17.919749,15.494610,
190.109924,15.248319,27.663930,190.109924,15.626331,36.121637,190.109924,15.652099,28.927958,190.109924,15.305608,23.607931,190.109924,16.612715,27.861749,190.109924,14.278748,18.361731,190.109924,20.011239,18.044178,190.109924,17.248474,18.089435,
190.606949,14.619882,28.230464,190.606949,15.390797,37.323537,190.606949,15.159455,29.488650,190.606949,15.474108,23.120770,190.606949,16.234239,28.911041,190.606949,13.775004,18.354464,190.606949,19.461442,16.567790,190.606949,16.892711,17.527996,
191.103989,14.663464,28.113666,191.103989,15.152563,35.253235,191.103989,15.442444,32.247331,191.103989,14.859208,23.103834,191.103989,16.149492,29.756275,191.103989,13.453358,18.696128,191.103989,18.457337,17.879915,191.103989,16.632591,17.251177,
191.601028,14.273444,29.955935,191.601028,14.507113,37.486339,191.601028,15.154428,33.022906,191.601028,14.497269,24.752021,191.601028,15.675121,29.498665,191.601028,13.214788,19.796592,191.601028,17.809778,19.034703,191.601028,16.521814,19.926838,
192.098099,13.878939,30.564638,192.098099,14.520085,37.883915,192.098099,14.793566,33.889284,192.098099,14.353098,26.316299,192.098099,15.825276,30.694812,192.098099,12.890179,19.725806,192.098099,18.211425,20.245518,192.098099,15.256092,21.144012,
192.595169,13.641053,31.016591,192.595169,13.991776,38.488368,192.595169,14.541920,33.750572,192.595169,14.019893,27.253763,192.595169,15.357827,30.626471,192.595169,12.963539,21.238677,192.595169,17.550083,18.851613,192.595169,15.642932,19.727452,
193.092255,13.975048,32.943090,193.092255,14.215612,39.691573,193.092255,14.838483,34.498132,193.092255,14.132362,28.727361,193.092255,14.828532,32.260470,193.092255,12.482383,22.517760,193.092255,17.730414,18.870991,193.092255,15.338504,21.541381,
193.589340,13.845465,34.470153,193.589340,14.133689,40.159555,193.589340,14.512070,36.369587,193.589340,13.882885,29.788365,193.589340,15.130341,32.015966,193.589340,12.487395,25.485941,193.589340,17.024663,20.058315,193.589340,15.351749,20.503821,
194.086456,13.927411,35.466723,194.086456,13.985715,40.916765,194.086456,14.677921,38.378468,194.086456,13.860979,32.636307,194.086456,14.701865,33.124510,194.086456,12.376552,25.179631,194.086456,17.179006,21.111418,194.086456,15.286633,21.994383,
194.583572,13.606013,36.789568,194.583572,14.367464,42.723803,194.583572,14.625229,40.707887,194.583572,14.060912,34.830228,194.583572,15.111495,33.925617,194.583572,12.201206,27.387111,194.583572,17.227845,22.643647,194.583572,14.992981,22.601576,
195.080704,13.924940,38.828545,195.080704,14.287548,45.161272,195.080704,14.739057,43.799995,195.080704,14.490532,36.538969,195.080704,14.781943,36.597147,195.080704,12.211403,30.414426,195.080704,17.160724,23.938025,195.080704,14.877244,23.509531,
195.577835,13.846465,45.142356,195.577835,14.053417,47.331554,195.577835,14.722150,46.766611,195.577835,14.592272,41.640495,195.577835,15.576956,39.008466,195.577835,12.400775,36.080288,195.577835,17.236212,25.242595,195.577835,14.906613,27.536363,
196.074997,14.199898,49.636482,196.074997,14.436113,52.171392,196.074997,14.732180,52.615443,196.074997,14.436765,45.868217,196.074997,15.702694,43.610546,196.074997,12.137169,42.054611,196.074997,16.902292,27.128796,196.074997,14.546245,31.751601,
196.572159,14.622208,55.453205,196.572159,14.568068,57.343560,196.572159,15.143014,57.895793,196.572159,14.695666,51.290204,196.572159,15.641374,48.761919,196.572159,12.381933,48.398186,196.572159,16.541195,32.025895,196.572159,14.590109,37.370749,
197.069336,15.152689,61.736983,197.069336,14.493607,62.652496,197.069336,15.525689,64.137470,197.069336,14.738946,56.023429,197.069336,15.917643,55.513132,197.069336,12.612245,56.714207,197.069336,16.040570,39.413891,197.069336,14.741208,44.829283,
197.566528,15.707493,67.226745,197.566528,14.993712,68.086490,197.566528,15.866156,69.000836,197.566528,14.948814,60.520670,197.566528,16.242703,60.598428,197.566528,13.057633,65.107800,197.566528,16.145470,45.524851,197.566528,14.767433,52.571802,
198.063736,16.061606,70.903122,198.063736,15.363599,71.623242,198.063736,16.189692,73.051013,198.063736,14.865670,65.160111,198.063736,16.201730,66.244230,198.063736,13.456905,70.144947,198.063736,15.954746,52.527702,198.063736,14.820297,60.683663,
198.560944,16.197492,74.011208,198.560944,15.434662,74.962816,198.560944,16.144368,76.237178,198.560944,14.715467,68.407363,198.560944,16.110799,69.898113,198.560944,13.500882,73.916603,198.560944,15.755429,58.428982,198.560944,15.053718,65.868743,
199.058167,16.369377,75.616096,199.058167,15.376560,77.301192,199.058167,16.041858,78.645136,199.058167,14.549951,71.646869,199.058167,16.139567,72.545432,199.058167,13.798157,77.385584,199.058167,15.421425,62.938065,199.058167,14.982177,70.282627,
199.555405,16.251992,77.371588,199.555405,15.282300,79.495994,199.555405,15.856005,80.644740,199.555405,14.368363,74.570907,199.555405,15.883413,75.185850,199.555405,13.855905,79.880761,199.555405,15.368086,66.680874,199.555405,14.971468,72.800422,
200.052658,16.009902,78.954335,200.052658,15.090630,81.550786,200.052658,15.548751,82.906231,200.052658,13.965433,76.644175,200.052658,15.480177,76.648821,200.052658,13.847047,82.217448,200.052658,15.066413,69.499271,200.052658,14.681654,76.450282,
200.549911,15.778316,80.324571,200.549911,14.696135,83.016593,200.549911,15.126747,84.030792,200.549911,13.667022,78.875887,200.549911,14.907941,78.719364,200.549911,13.621485,83.941382,200.549911,14.684714,71.913261,200.549911,14.430521,78.129867,
201.047195,15.401896,81.314557,201.047195,14.454154,84.663417,201.047195,14.683455,85.322029,201.047195,13.258326,80.769589,201.047195,14.481888,79.827710,201.047195,13.394524,85.671704,201.047195,14.317684,74.462805,201.047195,13.985299,80.175467,
201.544479,14.936493,82.124325,201.544479,13.940576,85.835298,201.544479,14.202071,86.286072,201.544479,12.790277,82.639571,201.544479,13.787715,81.143575,201.544479,13.073366,87.390571,201.544479,13.868122,76.495542,201.544479,13.572018,81.482333,
202.041763,14.389804,83.417038,202.041763,13.378811,86.935625,202.041763,13.718440,87.291350,202.041763,12.269182,83.867039,202.041763,13.296640,82.142913,202.041763,12.691370,88.786370,202.041763,13.317528,77.404558,202.041763,12.964411,82.326929,
202.539078,13.800092,83.702669,202.539078,12.823783,88.032495,202.539078,13.045052,88.372341,202.539078,11.615196,85.306312,202.539078,12.543609,83.015705,202.539078,12.212458,89.891123,202.539078,12.711530,78.168702,202.539078,12.439532,83.498873,
203.036392,13.227225,84.186591,203.036392,12.199198,88.619724,203.036392,12.405424,89.262356,203.036392,11.090026,86.556008,203.036392,11.798706,83.419387,203.036392,11.785395,90.327523,203.036392,12.162146,79.066498,203.036392,11.875386,84.538274,
203.533722,12.573482,84.452271,203.533722,11.529875,89.405935,203.533722,11.633859,89.824540,203.533722,10.459666,87.604604,203.533722,11.156326,83.519175,203.533722,11.218752,91.022105,203.533722,11.576783,79.357005,203.533722,11.255131,85.105355,
204.031067,11.999947,84.541632,204.031067,10.851581,89.724743,204.031067,10.953433,89.607484,204.031067,9.894318,88.304832,204.031067,10.485191,83.397430,204.031067,10.757373,91.078492,204.031067,10.919903,79.123899,204.031067,10.556380,84.717430,
204.528427,11.377858,83.830233,204.528427,10.185213,89.236439,204.528427,10.186407,89.182407,204.528427,9.255527,88.082784,204.528427,9.722277,82.531713,204.528427,10.178144,91.296333,204.528427,10.362070,77.996602,204.528427,9.982346,84.669106,
205.025787,10.803138,83.344725,205.025787,9.574361,88.184722,205.025787,9.657257,88.677970,205.025787,8.636065,87.188822,205.025787,9.128658,81.666287,205.025787,9.709638,90.913128,205.025787,9.737130,78.429237,205.025787,9.439254,83.642900,
205.523163,10.298390,81.580461,205.523163,8.990941,87.513863,205.523163,8.968398,87.677166,205.523163,8.148864,86.551226,205.523163,8.506234,79.712085,205.523163,9.213777,89.764019,205.523163,9.282320,76.576591,205.523163,8.919611,81.819791,
206.020554,9.757548,79.521293,206.020554,8.407980,86.019328,206.020554,8.337292,85.827587,206.020554,7.585633,84.886980,206.020554,7.893669,77.196922,206.020554,8.687112,88.363888,206.020554,8.897883,74.498331,206.020554,8.353948,80.247716,
206.517960,9.304359,77.871899,206.517960,7.883635,83.992907,206.517960,7.797811,83.786300,206.517960,7.194042,82.521205,206.517960,7.426201,74.263587,206.517960,8.368389,86.821961,206.517960,8.446739,72.238285,206.517960,7.946203,77.812410,
207.015366,8.886481,75.289602,207.015366,7.450260,80.922471,207.015366,7.316181,80.856397,207.015366,6.766145,80.094011,207.015366,6.924172,70.607474,207.015366,7.983934,84.147052,207.015366,8.146825,68.903984,207.015366,7.515991,75.013891,
207.512802,8.605602,72.660999,207.512802,7.015505,78.696379,207.512802,6.882591,77.991911,207.512802,6.470100,76.238251,207.512802,6.631719,66.865274,207.512802,7.680633,81.289752,207.512802,7.877947,65.407589,207.512802,7.200702,71.659779,
208.010223,8.303484,69.921290,208.010223,6.795509,74.799344,208.010223,6.552443,73.674382,208.010223,6.222181,72.614081,208.010223,6.434405,62.557414,208.010223,7.444507,78.691243,208.010223,7.738179,62.210604,208.010223,6.998659,68.455118,
208.507675,8.207820,66.939296,208.507675,6.452177,71.195770,208.507675,6.294874,70.324663,208.507675,5.976828,68.955907,208.507675,6.226492,59.581970,208.507675,7.294104,76.307487,208.507675,7.574800,59.554637,208.507675,6.916441,64.748093,
209.005142,8.072588,64.238332,209.005142,6.305199,68.014524,209.005142,6.183857,66.182650,209.005142,5.880373,65.087505,209.005142,6.121987,54.816602,209.005142,7.146016,72.840641,209.005142,7.549748,56.198368,209.005142,6.827411,61.387935,
209.502609,7.896195,62.419015,209.502609,6.167643,64.252632,209.502609,6.036869,62.863792,209.502609,5.842017,61.651440,209.502609,6.188312,50.620145,209.502609,7.062379,70.012915,209.502609,7.471020,53.194937,209.502609,6.790924,59.037618,
210.000092,7.842278,59.538456,210.000092,6.022505,60.450507,210.000092,5.947492,59.453537,210.000092,5.717629,59.622732,210.000092,6.154990,47.429129,210.000092,6.994183,67.974587,210.000092,7.499113,50.653824,210.000092,6.705556,56.086324,
210.497589,7.781314,57.332165,210.497589,6.035686,57.081764,210.497589,5.895778,56.095217,210.497589,5.791641,56.363035,210.497589,6.072543,44.578747,210.497589,6.987481,65.256197,210.497589,7.519196,49.381103,210.497589,6.831148,52.065632,
210.995087,7.784274,55.204465,210.995087,5.981304,54.677202,210.995087,5.834644,52.985627,210.995087,5.771760,53.738590,210.995087,6.191382,42.241824,210.995087,6.950927,63.143712,210.995087,7.539690,47.851665,210.995087,6.808413,51.050330,
211.492615,7.730133,54.183009,211.492615,5.965260,52.836312,211.492615,5.869668,51.050635,211.492615,5.824366,51.829819,211.492615,6.214285,40.163329,211.492615,7.030971,61.235210,211.492615,7.566895,45.525303,211.492615,6.793440,49.933760,
211.990143,7.687176,52.631493,211.990143,5.985382,50.416782,211.990143,5.935160,49.156555,211.990143,5.905081,49.368565,211.990143,6.205355,38.456793,211.990143,7.018629,59.301511,211.990143,7.555075,44.646504,211.990143,6.868543,47.189976,
212.487686,7.738317,51.142683,212.487686,5.954588,48.927824,212.487686,5.918354,46.950294,212.487686,5.964849,47.740718,212.487686,6.338097,37.377262,212.487686,6.997423,58.400091,212.487686,7.547878,43.743866,212.487686,6.865148,46.400663,
212.985229,7.667510,49.612800,212.985229,5.943714,46.410076,212.985229,5.978612,46.001106,212.985229,6.011810,47.164131,212.985229,6.410039,36.131832,212.985229,7.041277,57.317420,212.985229,7.579707,42.232583,212.985229,6.833964,45.667010,
213.482803,7.626550,48.802925,213.482803,5.979431,45.011642,213.482803,5.987398,44.215878,213.482803,6.023934,45.900472,213.482803,6.426824,35.891634,213.482803,7.030540,56.473976,213.482803,7.576514,42.035551,213.482803,6.921704,44.806259,
213.980377,7.631906,47.427403,213.980377,5.982619,43.497452,213.980377,5.985684,43.592220,213.980377,6.141378,45.173175,213.980377,6.402640,34.611929,213.980377,7.029693,54.699352,213.980377,7.618295,41.120673,213.980377,6.913892,44.419853,
214.477966,7.560367,47.205440,214.477966,6.026616,42.515247,214.477966,6.014102,42.739026,214.477966,6.243191,44.004609,214.477966,6.430902,34.171505,214.477966,7.088159,53.511811,214.477966,7.594981,40.821315,214.477966,6.899471,43.907384,
