Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,
189.612915,17.695205,-1.452971,189.612915,17.580726,-1.329565,189.612915,17.557193,-1.103753,189.612915,17.632804,-1.337261,189.612915,17.639206,-1.519795,189.612915,17.559698,-1.901054,189.612915,17.471780,-1.778741,189.612915,17.547792,-1.830699,
190.109924,17.181360,-1.245881,190.109924,17.199661,-1.040749,190.109924,17.227687,-1.156306,190.109924,17.250125,-1.461331,190.109924,17.330285,-1.758710,190.109924,17.200656,-1.828770,190.109924,17.170923,-1.605929,190.109924,17.221510,-1.749898,
190.606949,16.879306,-1.583514,190.606949,16.886233,-1.155294,190.606949,16.887045,-1.257340,190.606949,16.927198,-1.221470,190.606949,17.011776,-1.416313,190.606949,16.894893,-1.478092,190.606949,16.861864,-1.833982,190.606949,16.948331,-1.766854,
191.103989,16.735402,-1.244208,191.103989,16.699756,-1.418410,191.103989,16.748801,-1.453788,191.103989,16.752645,-1.336245,191.103989,16.751059,-1.481269,191.103989,16.688570,-1.684703,191.103989,16.731456,-1.858331,191.103989,16.682341,-2.022075,
191.601028,16.542350,-1.515725,191.601028,16.628318,-1.310090,191.601028,16.633156,-1.618772,191.601028,16.596498,-1.573118,191.601028,16.623898,-1.666004,191.601028,16.519187,-1.729636,191.601028,16.538171,-2.370482,191.601028,16.701794,-2.172296,
192.098099,16.437613,-1.928125,192.098099,16.454810,-1.369453,192.098099,16.454915,-1.443459,192.098099,16.470270,-1.460793,192.098099,16.502427,-1.701126,192.098099,16.406434,-1.382803,192.098099,16.430769,-2.031853,192.098099,16.499492,-2.170599,
192.595169,16.316377,-1.718305,192.595169,16.238941,-1.308799,192.595169,16.309294,-1.577427,192.595169,16.350397,-1.413012,192.595169,16.335524,-1.410750,192.595169,16.283759,-1.705915,192.595169,16.188017,-2.080392,192.595169,16.245583,-2.235551,
193.092255,16.090152,-1.794750,193.092255,16.096769,-1.601045,193.092255,16.133186,-1.463412,193.092255,16.175339,-1.704790,193.092255,16.206843,-1.739903,193.092255,16.081555,-1.943780,193.092255,16.104143,-1.926554,193.092255,16.155324,-2.078075,
193.589340,16.029968,-1.931899,193.589340,16.048759,-1.376628,193.589340,16.044222,-1.647461,193.589340,16.094350,-1.628254,193.589340,16.097766,-1.955751,193.589340,15.966005,-1.701656,193.589340,15.978050,-2.109240,193.589340,16.010523,-2.193461,
194.086456,16.019878,-2.315595,194.086456,15.968222,-1.625003,194.086456,15.938655,-1.566328,194.086456,16.010043,-1.658601,194.086456,15.946958,-1.894705,194.086456,15.978197,-1.843944,194.086456,15.928360,-2.102715,194.086456,15.971211,-2.092435,
194.583572,15.983073,-2.040200,194.583572,15.935022,-1.769720,194.583572,15.888720,-1.793412,194.583572,15.926125,-1.638121,194.583572,15.986029,-1.746876,194.583572,15.843306,-1.908160,194.583572,15.884555,-2.290473,194.583572,15.929739,-2.180350,
195.080704,15.940110,-1.950497,195.080704,15.874177,-1.733337,195.080704,15.762820,-1.709989,195.080704,15.836723,-1.911212,195.080704,15.901032,-1.852074,195.080704,15.865633,-2.082459,195.080704,15.795244,-2.193910,195.080704,15.894948,-1.887275,
195.577835,15.834730,-2.217444,195.577835,15.748971,-1.761579,195.577835,15.798677,-2.115225,195.577835,15.831394,-1.979618,195.577835,15.846704,-2.196737,195.577835,15.807148,-2.285968,195.577835,15.667122,-2.179860,195.577835,15.754436,-1.967824,
196.074997,15.768818,-2.173243,196.074997,15.773231,-1.713390,196.074997,15.688030,-2.034428,196.074997,15.799731,-1.947519,196.074997,15.833676,-2.138098,196.074997,15.795720,-2.182869,196.074997,15.681569,-2.323347,196.074997,15.788788,-2.098202,
196.572159,15.783461,-2.458218,196.572159,15.736698,-1.938345,196.572159,15.713676,-1.980623,196.572159,15.749183,-2.021385,196.572159,15.786750,-2.162709,196.572159,15.784938,-2.073843,196.572159,15.726736,-2.526383,196.572159,15.784247,-2.204679,
197.069336,15.825080,-2.320901,197.069336,15.730407,-1.988610,197.069336,15.716389,-1.871184,197.069336,15.835138,-1.955454,197.069336,15.817176,-2.175193,197.069336,15.716471,-2.308496,197.069336,15.683940,-2.208418,197.069336,15.773327,-2.376400,
197.566528,15.876850,-2.550831,197.566528,15.749232,-1.911277,197.566528,15.782438,-2.057287,197.566528,15.813252,-1.952204,197.566528,15.793527,-2.202845,197.566528,15.804850,-2.334842,197.566528,15.679767,-2.528611,197.566528,15.767458,-2.299097,
198.063736,15.778993,-2.558748,198.063736,15.762883,-2.083615,198.063736,15.813944,-2.424456,198.063736,15.772900,-2.021898,198.063736,15.817452,-2.401671,198.063736,15.784262,-2.146803,198.063736,15.695134,-2.408251,198.063736,15.806672,-2.305700,
198.560944,15.822669,-2.727027,198.560944,15.771336,-2.152381,198.560944,15.762157,-2.289353,198.560944,15.852016,-2.105379,198.560944,15.856197,-2.289439,198.560944,15.861078,-2.189439,198.560944,15.727340,-2.502182,198.560944,15.860059,-2.502022,
